nameOfIssuer,nameOfIssuer_link,cusip,value,fund_name
HEICO CORP NEW,"<a href=""http://www.google.com/search?q=stock price HEICO CORP NEW"" 
        target=""_blank"">HEICO CORP NEW</a>",422806109,5777501,['CITADEL ADVISORS LLC']
3-D SYS CORP DEL,"<a href=""http://www.google.com/search?q=stock price 3-D SYS CORP DEL"" 
        target=""_blank"">3-D SYS CORP DEL</a>",88554D205,5749290,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc', 'TWO SIGMA INVESTMENTS, LP']"
INNOVATIVE INDL PPTYS INC,"<a href=""http://www.google.com/search?q=stock price INNOVATIVE INDL PPTYS INC"" 
        target=""_blank"">INNOVATIVE INDL PPTYS INC</a>",45781V101,5736658,['CITADEL ADVISORS LLC']
VANGUARD WORLD FD,"<a href=""http://www.google.com/search?q=stock price VANGUARD WORLD FD"" 
        target=""_blank"">VANGUARD WORLD FD</a>",921910709,5680203,['CITADEL ADVISORS LLC']
YELP INC,"<a href=""http://www.google.com/search?q=stock price YELP INC"" 
        target=""_blank"">YELP INC</a>",985817105,5642928,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
MFA FINL INC,"<a href=""http://www.google.com/search?q=stock price MFA FINL INC"" 
        target=""_blank"">MFA FINL INC</a>",55272X607,5624012,['CITADEL ADVISORS LLC']
LADDER CAP CORP,"<a href=""http://www.google.com/search?q=stock price LADDER CAP CORP"" 
        target=""_blank"">LADDER CAP CORP</a>",505743104,5616795,"['CITADEL ADVISORS LLC', 'MKP Capital Management, L.L.C.']"
SNAP ON INC,"<a href=""http://www.google.com/search?q=stock price SNAP ON INC"" 
        target=""_blank"">SNAP ON INC</a>",833034101,5603496,['CITADEL ADVISORS LLC']
ONTO INNOVATION INC,"<a href=""http://www.google.com/search?q=stock price ONTO INNOVATION INC"" 
        target=""_blank"">ONTO INNOVATION INC</a>",683344105,5596140,['CITADEL ADVISORS LLC']
ARK ETF TR,"<a href=""http://www.google.com/search?q=stock price ARK ETF TR"" 
        target=""_blank"">ARK ETF TR</a>",00214Q708,5579434,['CITADEL ADVISORS LLC']
COMMERCIAL METALS CO,"<a href=""http://www.google.com/search?q=stock price COMMERCIAL METALS CO"" 
        target=""_blank"">COMMERCIAL METALS CO</a>",201723103,5569452,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
DIREXION SHS ETF TR,"<a href=""http://www.google.com/search?q=stock price DIREXION SHS ETF TR"" 
        target=""_blank"">DIREXION SHS ETF TR</a>",25460G781,5543932,['CITADEL ADVISORS LLC']
ERIE INDTY CO,"<a href=""http://www.google.com/search?q=stock price ERIE INDTY CO"" 
        target=""_blank"">ERIE INDTY CO</a>",29530P102,5526180,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
RPM INTL INC,"<a href=""http://www.google.com/search?q=stock price RPM INTL INC"" 
        target=""_blank"">RPM INTL INC</a>",749685103,5525685,['CITADEL ADVISORS LLC']
AMPHENOL CORP NEW,"<a href=""http://www.google.com/search?q=stock price AMPHENOL CORP NEW"" 
        target=""_blank"">AMPHENOL CORP NEW</a>",032095101,5511628,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
TRANSUNION,"<a href=""http://www.google.com/search?q=stock price TRANSUNION"" 
        target=""_blank"">TRANSUNION</a>",89400J107,5476187,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
HEALTHCARE RLTY TR,"<a href=""http://www.google.com/search?q=stock price HEALTHCARE RLTY TR"" 
        target=""_blank"">HEALTHCARE RLTY TR</a>",42226K105,5460187,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PINNACLE WEST CAP CORP,"<a href=""http://www.google.com/search?q=stock price PINNACLE WEST CAP CORP"" 
        target=""_blank"">PINNACLE WEST CAP CORP</a>",723484101,5438288,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
PROSHARES TR II,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR II"" 
        target=""_blank"">PROSHARES TR II</a>",74347W353,5434000,['CITADEL ADVISORS LLC']
ROLLINS INC,"<a href=""http://www.google.com/search?q=stock price ROLLINS INC"" 
        target=""_blank"">ROLLINS INC</a>",775711104,5428181,['CITADEL ADVISORS LLC']
ROYALTY PHARMA PLC,"<a href=""http://www.google.com/search?q=stock price ROYALTY PHARMA PLC"" 
        target=""_blank"">ROYALTY PHARMA PLC</a>",G7709Q104,5424179,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
LENNOX INTL INC,"<a href=""http://www.google.com/search?q=stock price LENNOX INTL INC"" 
        target=""_blank"">LENNOX INTL INC</a>",526107107,5370240,['CITADEL ADVISORS LLC']
ALLEGIANT TRAVEL CO,"<a href=""http://www.google.com/search?q=stock price ALLEGIANT TRAVEL CO"" 
        target=""_blank"">ALLEGIANT TRAVEL CO</a>",01748X102,5353128,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287721,5315075,['CITADEL ADVISORS LLC']
GENUINE PARTS CO,"<a href=""http://www.google.com/search?q=stock price GENUINE PARTS CO"" 
        target=""_blank"">GENUINE PARTS CO</a>",372460105,5304550,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
WEATHERFORD INTL PLC,"<a href=""http://www.google.com/search?q=stock price WEATHERFORD INTL PLC"" 
        target=""_blank"">WEATHERFORD INTL PLC</a>",G48833118,5302386,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PEMBINA PIPELINE CORP,"<a href=""http://www.google.com/search?q=stock price PEMBINA PIPELINE CORP"" 
        target=""_blank"">PEMBINA PIPELINE CORP</a>",706327103,5290325,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PIMCO ETF TR,"<a href=""http://www.google.com/search?q=stock price PIMCO ETF TR"" 
        target=""_blank"">PIMCO ETF TR</a>",72201R882,5264861,['CITADEL ADVISORS LLC']
ARES CAPITAL CORP,"<a href=""http://www.google.com/search?q=stock price ARES CAPITAL CORP"" 
        target=""_blank"">ARES CAPITAL CORP</a>",04010L103,5231836,['CITADEL ADVISORS LLC']
EXPEDITORS INTL WASH INC,"<a href=""http://www.google.com/search?q=stock price EXPEDITORS INTL WASH INC"" 
        target=""_blank"">EXPEDITORS INTL WASH INC</a>",302130109,5202480,['CITADEL ADVISORS LLC']
CORNING INC,"<a href=""http://www.google.com/search?q=stock price CORNING INC"" 
        target=""_blank"">CORNING INC</a>",219350105,5200860,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
PROSHARES TR II,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR II"" 
        target=""_blank"">PROSHARES TR II</a>",74347Y763,5196983,['CITADEL ADVISORS LLC']
ALCON AG,"<a href=""http://www.google.com/search?q=stock price ALCON AG"" 
        target=""_blank"">ALCON AG</a>",H01301128,5187168,['CITADEL ADVISORS LLC']
VITAL ENERGY INC,"<a href=""http://www.google.com/search?q=stock price VITAL ENERGY INC"" 
        target=""_blank"">VITAL ENERGY INC</a>",516806205,5172213,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
LEGGETT & PLATT INC,"<a href=""http://www.google.com/search?q=stock price LEGGETT & PLATT INC"" 
        target=""_blank"">LEGGETT & PLATT INC</a>",524660107,5165958,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
REPUBLIC SVCS INC,"<a href=""http://www.google.com/search?q=stock price REPUBLIC SVCS INC"" 
        target=""_blank"">REPUBLIC SVCS INC</a>",760759100,5161683,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
CHORD ENERGY CORPORATION,"<a href=""http://www.google.com/search?q=stock price CHORD ENERGY CORPORATION"" 
        target=""_blank"">CHORD ENERGY CORPORATION</a>",674215207,5153130,['CITADEL ADVISORS LLC']
MAGNA INTL INC,"<a href=""http://www.google.com/search?q=stock price MAGNA INTL INC"" 
        target=""_blank"">MAGNA INTL INC</a>",559222401,5122126,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
INVESCO CURRENCYSHARES CDN D,"<a href=""http://www.google.com/search?q=stock price INVESCO CURRENCYSHARES CDN D"" 
        target=""_blank"">INVESCO CURRENCYSHARES CDN D</a>",46138T104,5112496,['CITADEL ADVISORS LLC']
COMSTOCK RES INC,"<a href=""http://www.google.com/search?q=stock price COMSTOCK RES INC"" 
        target=""_blank"">COMSTOCK RES INC</a>",205768302,5109990,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
WENDYS CO,"<a href=""http://www.google.com/search?q=stock price WENDYS CO"" 
        target=""_blank"">WENDYS CO</a>",95058W100,5101812,['CITADEL ADVISORS LLC']
YUM CHINA HLDGS INC,"<a href=""http://www.google.com/search?q=stock price YUM CHINA HLDGS INC"" 
        target=""_blank"">YUM CHINA HLDGS INC</a>",98850P109,5087357,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
AMKOR TECHNOLOGY INC,"<a href=""http://www.google.com/search?q=stock price AMKOR TECHNOLOGY INC"" 
        target=""_blank"">AMKOR TECHNOLOGY INC</a>",031652100,5067021,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
COPA HOLDINGS SA,"<a href=""http://www.google.com/search?q=stock price COPA HOLDINGS SA"" 
        target=""_blank"">COPA HOLDINGS SA</a>",P31076105,5060356,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
PENSKE AUTOMOTIVE GRP INC,"<a href=""http://www.google.com/search?q=stock price PENSKE AUTOMOTIVE GRP INC"" 
        target=""_blank"">PENSKE AUTOMOTIVE GRP INC</a>",70959W103,5056065,['CITADEL ADVISORS LLC']
TAL EDUCATION GROUP,"<a href=""http://www.google.com/search?q=stock price TAL EDUCATION GROUP"" 
        target=""_blank"">TAL EDUCATION GROUP</a>",874080104,5053263,['CITADEL ADVISORS LLC']
VESTIS CORPORATION,"<a href=""http://www.google.com/search?q=stock price VESTIS CORPORATION"" 
        target=""_blank"">VESTIS CORPORATION</a>",29430C102,5033434,['CITADEL ADVISORS LLC']
CHILDRENS PL INC NEW,"<a href=""http://www.google.com/search?q=stock price CHILDRENS PL INC NEW"" 
        target=""_blank"">CHILDRENS PL INC NEW</a>",168905107,5031774,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
LPL FINL HLDGS INC,"<a href=""http://www.google.com/search?q=stock price LPL FINL HLDGS INC"" 
        target=""_blank"">LPL FINL HLDGS INC</a>",50212V100,5030402,['CITADEL ADVISORS LLC']
SABRE CORP,"<a href=""http://www.google.com/search?q=stock price SABRE CORP"" 
        target=""_blank"">SABRE CORP</a>",78573M104,5028760,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
ARES MANAGEMENT CORPORATION,"<a href=""http://www.google.com/search?q=stock price ARES MANAGEMENT CORPORATION"" 
        target=""_blank"">ARES MANAGEMENT CORPORATION</a>",03990B101,5018424,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
WARBY PARKER INC,"<a href=""http://www.google.com/search?q=stock price WARBY PARKER INC"" 
        target=""_blank"">WARBY PARKER INC</a>",93403J106,5012550,['CITADEL ADVISORS LLC']
VISTA ENERGY S.A.B. DE C.V.,"<a href=""http://www.google.com/search?q=stock price VISTA ENERGY S.A.B. DE C.V."" 
        target=""_blank"">VISTA ENERGY S.A.B. DE C.V.</a>",92837L109,4996043,['CITADEL ADVISORS LLC']
INVITATION HOMES INC,"<a href=""http://www.google.com/search?q=stock price INVITATION HOMES INC"" 
        target=""_blank"">INVITATION HOMES INC</a>",46187W107,4990293,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
FACTSET RESH SYS INC,"<a href=""http://www.google.com/search?q=stock price FACTSET RESH SYS INC"" 
        target=""_blank"">FACTSET RESH SYS INC</a>",303075105,4961320,['CITADEL ADVISORS LLC']
SHIFT4 PMTS INC,"<a href=""http://www.google.com/search?q=stock price SHIFT4 PMTS INC"" 
        target=""_blank"">SHIFT4 PMTS INC</a>",82452J109,4958478,['CITADEL ADVISORS LLC']
INVESCO MORTGAGE CAPITAL INC,"<a href=""http://www.google.com/search?q=stock price INVESCO MORTGAGE CAPITAL INC"" 
        target=""_blank"">INVESCO MORTGAGE CAPITAL INC</a>",46131B704,4953715,['CITADEL ADVISORS LLC']
AURINIA PHARMACEUTICALS INC,"<a href=""http://www.google.com/search?q=stock price AURINIA PHARMACEUTICALS INC"" 
        target=""_blank"">AURINIA PHARMACEUTICALS INC</a>",05156V102,4943601,['CITADEL ADVISORS LLC']
SSR MINING IN,"<a href=""http://www.google.com/search?q=stock price SSR MINING IN"" 
        target=""_blank"">SSR MINING IN</a>",784730103,4939916,['CITADEL ADVISORS LLC']
BRIDGEBIO PHARMA INC,"<a href=""http://www.google.com/search?q=stock price BRIDGEBIO PHARMA INC"" 
        target=""_blank"">BRIDGEBIO PHARMA INC</a>",10806X102,4929177,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
ORMAT TECHNOLOGIES INC,"<a href=""http://www.google.com/search?q=stock price ORMAT TECHNOLOGIES INC"" 
        target=""_blank"">ORMAT TECHNOLOGIES INC</a>",686688102,4926350,['CITADEL ADVISORS LLC']
STAR BULK CARRIERS CORP.,"<a href=""http://www.google.com/search?q=stock price STAR BULK CARRIERS CORP."" 
        target=""_blank"">STAR BULK CARRIERS CORP.</a>",Y8162K204,4870666,['CITADEL ADVISORS LLC']
SUN CMNTYS INC,"<a href=""http://www.google.com/search?q=stock price SUN CMNTYS INC"" 
        target=""_blank"">SUN CMNTYS INC</a>",866674104,4864860,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
FLEX LTD,"<a href=""http://www.google.com/search?q=stock price FLEX LTD"" 
        target=""_blank"">FLEX LTD</a>",Y2573F102,4849232,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
ING GROEP N.V.,"<a href=""http://www.google.com/search?q=stock price ING GROEP N.V."" 
        target=""_blank"">ING GROEP N.V.</a>",456837103,4842448,['CITADEL ADVISORS LLC']
ARMOUR RESIDENTIAL REIT INC,"<a href=""http://www.google.com/search?q=stock price ARMOUR RESIDENTIAL REIT INC"" 
        target=""_blank"">ARMOUR RESIDENTIAL REIT INC</a>",042315705,4837342,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CATALENT INC,"<a href=""http://www.google.com/search?q=stock price CATALENT INC"" 
        target=""_blank"">CATALENT INC</a>",148806102,4834468,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
PROSHARES TR,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR"" 
        target=""_blank"">PROSHARES TR</a>",74347X823,4825964,['CITADEL ADVISORS LLC']
TD SYNNEX CORPORATION,"<a href=""http://www.google.com/search?q=stock price TD SYNNEX CORPORATION"" 
        target=""_blank"">TD SYNNEX CORPORATION</a>",87162W100,4820928,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
HENRY SCHEIN INC,"<a href=""http://www.google.com/search?q=stock price HENRY SCHEIN INC"" 
        target=""_blank"">HENRY SCHEIN INC</a>",806407102,4792443,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
PROSHARES TR,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR"" 
        target=""_blank"">PROSHARES TR</a>",74347B110,4747200,['CITADEL ADVISORS LLC']
ST JOE CO,"<a href=""http://www.google.com/search?q=stock price ST JOE CO"" 
        target=""_blank"">ST JOE CO</a>",790148100,4736166,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
FABRINET,"<a href=""http://www.google.com/search?q=stock price FABRINET"" 
        target=""_blank"">FABRINET</a>",G3323L100,4720184,['CITADEL ADVISORS LLC']
NEXTERA ENERGY PARTNERS LP,"<a href=""http://www.google.com/search?q=stock price NEXTERA ENERGY PARTNERS LP"" 
        target=""_blank"">NEXTERA ENERGY PARTNERS LP</a>",65341B106,4701386,['CITADEL ADVISORS LLC']
AERCAP HOLDINGS NV,"<a href=""http://www.google.com/search?q=stock price AERCAP HOLDINGS NV"" 
        target=""_blank"">AERCAP HOLDINGS NV</a>",N00985106,4697024,['CITADEL ADVISORS LLC']
BROOKFIELD INFRASTRUCTURE CO,"<a href=""http://www.google.com/search?q=stock price BROOKFIELD INFRASTRUCTURE CO"" 
        target=""_blank"">BROOKFIELD INFRASTRUCTURE CO</a>",11275Q107,4649022,['CITADEL ADVISORS LLC']
BORGWARNER INC,"<a href=""http://www.google.com/search?q=stock price BORGWARNER INC"" 
        target=""_blank"">BORGWARNER INC</a>",099724106,4642575,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
EAGLE BULK SHIPPING INC,"<a href=""http://www.google.com/search?q=stock price EAGLE BULK SHIPPING INC"" 
        target=""_blank"">EAGLE BULK SHIPPING INC</a>",Y2187A150,4642520,['CITADEL ADVISORS LLC']
RITHM CAPITAL CORP,"<a href=""http://www.google.com/search?q=stock price RITHM CAPITAL CORP"" 
        target=""_blank"">RITHM CAPITAL CORP</a>",64828T201,4639392,['CITADEL ADVISORS LLC']
PROSHARES TR,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR"" 
        target=""_blank"">PROSHARES TR</a>",74347R669,4636584,['CITADEL ADVISORS LLC']
TANDEM DIABETES CARE INC,"<a href=""http://www.google.com/search?q=stock price TANDEM DIABETES CARE INC"" 
        target=""_blank"">TANDEM DIABETES CARE INC</a>",875372203,4623354,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
CAMDEN PPTY TR,"<a href=""http://www.google.com/search?q=stock price CAMDEN PPTY TR"" 
        target=""_blank"">CAMDEN PPTY TR</a>",133131102,4597127,['CITADEL ADVISORS LLC']
TELUS CORPORATION,"<a href=""http://www.google.com/search?q=stock price TELUS CORPORATION"" 
        target=""_blank"">TELUS CORPORATION</a>",87971M103,4590034,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
SPECTRUM BRANDS HLDGS INC NE,"<a href=""http://www.google.com/search?q=stock price SPECTRUM BRANDS HLDGS INC NE"" 
        target=""_blank"">SPECTRUM BRANDS HLDGS INC NE</a>",84790A105,4578798,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
GLOBAL X FDS,"<a href=""http://www.google.com/search?q=stock price GLOBAL X FDS"" 
        target=""_blank"">GLOBAL X FDS</a>",37954Y848,4570407,['CITADEL ADVISORS LLC']
APPLIED OPTOELECTRONICS INC,"<a href=""http://www.google.com/search?q=stock price APPLIED OPTOELECTRONICS INC"" 
        target=""_blank"">APPLIED OPTOELECTRONICS INC</a>",03823U102,4553724,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ALPS ETF TR,"<a href=""http://www.google.com/search?q=stock price ALPS ETF TR"" 
        target=""_blank"">ALPS ETF TR</a>",00162Q452,4532632,['CITADEL ADVISORS LLC']
CINCINNATI FINL CORP,"<a href=""http://www.google.com/search?q=stock price CINCINNATI FINL CORP"" 
        target=""_blank"">CINCINNATI FINL CORP</a>",172062101,4521202,['CITADEL ADVISORS LLC']
PROTHENA CORP PLC,"<a href=""http://www.google.com/search?q=stock price PROTHENA CORP PLC"" 
        target=""_blank"">PROTHENA CORP PLC</a>",G72800108,4506160,['CITADEL ADVISORS LLC']
CARPENTER TECHNOLOGY CORP,"<a href=""http://www.google.com/search?q=stock price CARPENTER TECHNOLOGY CORP"" 
        target=""_blank"">CARPENTER TECHNOLOGY CORP</a>",144285103,4481640,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
ROGERS COMMUNICATIONS INC,"<a href=""http://www.google.com/search?q=stock price ROGERS COMMUNICATIONS INC"" 
        target=""_blank"">ROGERS COMMUNICATIONS INC</a>",775109200,4478904,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
REVOLVE GROUP INC,"<a href=""http://www.google.com/search?q=stock price REVOLVE GROUP INC"" 
        target=""_blank"">REVOLVE GROUP INC</a>",76156B107,4478258,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",46435G334,4474970,['CITADEL ADVISORS LLC']
TREX CO INC,"<a href=""http://www.google.com/search?q=stock price TREX CO INC"" 
        target=""_blank"">TREX CO INC</a>",89531P105,4470660,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
PROGRESS SOFTWARE CORP,"<a href=""http://www.google.com/search?q=stock price PROGRESS SOFTWARE CORP"" 
        target=""_blank"">PROGRESS SOFTWARE CORP</a>",743312100,4468890,"['CITADEL ADVISORS LLC', 'III Capital Management ']"
SHUTTERSTOCK INC,"<a href=""http://www.google.com/search?q=stock price SHUTTERSTOCK INC"" 
        target=""_blank"">SHUTTERSTOCK INC</a>",825690100,4427276,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
MACERICH CO,"<a href=""http://www.google.com/search?q=stock price MACERICH CO"" 
        target=""_blank"">MACERICH CO</a>",554382101,4420695,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
INVESCO EXCH TRADED FD TR II,"<a href=""http://www.google.com/search?q=stock price INVESCO EXCH TRADED FD TR II"" 
        target=""_blank"">INVESCO EXCH TRADED FD TR II</a>",46138E628,4412343,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
CALUMET SPECIALTY PRODS PART,"<a href=""http://www.google.com/search?q=stock price CALUMET SPECIALTY PRODS PART"" 
        target=""_blank"">CALUMET SPECIALTY PRODS PART</a>",131476103,4387085,['CITADEL ADVISORS LLC']
INTERPUBLIC GROUP COS INC,"<a href=""http://www.google.com/search?q=stock price INTERPUBLIC GROUP COS INC"" 
        target=""_blank"">INTERPUBLIC GROUP COS INC</a>",460690100,4341120,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
SERVICE CORP INTL,"<a href=""http://www.google.com/search?q=stock price SERVICE CORP INTL"" 
        target=""_blank"">SERVICE CORP INTL</a>",817565104,4339730,['CITADEL ADVISORS LLC']
VIKING THERAPEUTICS INC,"<a href=""http://www.google.com/search?q=stock price VIKING THERAPEUTICS INC"" 
        target=""_blank"">VIKING THERAPEUTICS INC</a>",92686J106,4337991,['CITADEL ADVISORS LLC']
CLEAN HARBORS INC,"<a href=""http://www.google.com/search?q=stock price CLEAN HARBORS INC"" 
        target=""_blank"">CLEAN HARBORS INC</a>",184496107,4327848,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
DIREXION SHS ETF TR,"<a href=""http://www.google.com/search?q=stock price DIREXION SHS ETF TR"" 
        target=""_blank"">DIREXION SHS ETF TR</a>",25460E265,4309305,['CITADEL ADVISORS LLC']
ISHARES TR,"<a href=""http://www.google.com/search?q=stock price ISHARES TR"" 
        target=""_blank"">ISHARES TR</a>",464287192,4303852,['CITADEL ADVISORS LLC']
GAMING & LEISURE PPTYS INC,"<a href=""http://www.google.com/search?q=stock price GAMING & LEISURE PPTYS INC"" 
        target=""_blank"">GAMING & LEISURE PPTYS INC</a>",36467J108,4293450,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC']"
ARCELORMITTAL SA LUXEMBOURG,"<a href=""http://www.google.com/search?q=stock price ARCELORMITTAL SA LUXEMBOURG"" 
        target=""_blank"">ARCELORMITTAL SA LUXEMBOURG</a>",03938L203,4286890,"['CITADEL ADVISORS LLC', 'CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
TECNOGLASS INC,"<a href=""http://www.google.com/search?q=stock price TECNOGLASS INC"" 
        target=""_blank"">TECNOGLASS INC</a>",G87264100,4283027,['CITADEL ADVISORS LLC']
PROSHARES TR II,"<a href=""http://www.google.com/search?q=stock price PROSHARES TR II"" 
        target=""_blank"">PROSHARES TR II</a>",74347Y888,4269960,['CITADEL ADVISORS LLC']
JAZZ PHARMACEUTICALS PLC,"<a href=""http://www.google.com/search?q=stock price JAZZ PHARMACEUTICALS PLC"" 
        target=""_blank"">JAZZ PHARMACEUTICALS PLC</a>",G50871105,4268100,['CITADEL ADVISORS LLC']
MEDPACE HLDGS INC,"<a href=""http://www.google.com/search?q=stock price MEDPACE HLDGS INC"" 
        target=""_blank"">MEDPACE HLDGS INC</a>",58506Q109,4260767,['CITADEL ADVISORS LLC']
LEGALZOOM COM INC,"<a href=""http://www.google.com/search?q=stock price LEGALZOOM COM INC"" 
        target=""_blank"">LEGALZOOM COM INC</a>",52466B103,4256710,['CITADEL ADVISORS LLC']
KYNDRYL HLDGS INC,"<a href=""http://www.google.com/search?q=stock price KYNDRYL HLDGS INC"" 
        target=""_blank"">KYNDRYL HLDGS INC</a>",50155Q100,4238289,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BROADRIDGE FINL SOLUTIONS IN,"<a href=""http://www.google.com/search?q=stock price BROADRIDGE FINL SOLUTIONS IN"" 
        target=""_blank"">BROADRIDGE FINL SOLUTIONS IN</a>",11133T103,4217875,['CITADEL ADVISORS LLC']
ESSENTIAL UTILS INC,"<a href=""http://www.google.com/search?q=stock price ESSENTIAL UTILS INC"" 
        target=""_blank"">ESSENTIAL UTILS INC</a>",29670G102,4213080,['CITADEL ADVISORS LLC']
SWEETGREEN INC,"<a href=""http://www.google.com/search?q=stock price SWEETGREEN INC"" 
        target=""_blank"">SWEETGREEN INC</a>",87043Q108,4175350,['CITADEL ADVISORS LLC']
EQUITRANS MIDSTREAM CORP,"<a href=""http://www.google.com/search?q=stock price EQUITRANS MIDSTREAM CORP"" 
        target=""_blank"">EQUITRANS MIDSTREAM CORP</a>",294600101,4157512,"['CAPITAL FUND MANAGEMENT', 'CITADEL ADVISORS LLC']"
TSAKOS ENERGY NAVIGATION LTD,"<a href=""http://www.google.com/search?q=stock price TSAKOS ENERGY NAVIGATION LTD"" 
        target=""_blank"">TSAKOS ENERGY NAVIGATION LTD</a>",G9108L173,4135142,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
BIRKENSTOCK HOLDING PLC,"<a href=""http://www.google.com/search?q=stock price BIRKENSTOCK HOLDING PLC"" 
        target=""_blank"">BIRKENSTOCK HOLDING PLC</a>",M2029K104,4127431,['CITADEL ADVISORS LLC']
PATTERSON COS INC,"<a href=""http://www.google.com/search?q=stock price PATTERSON COS INC"" 
        target=""_blank"">PATTERSON COS INC</a>",703395103,4122405,['CITADEL ADVISORS LLC']
FORWARD AIR CORP,"<a href=""http://www.google.com/search?q=stock price FORWARD AIR CORP"" 
        target=""_blank"">FORWARD AIR CORP</a>",349853101,4117985,['CITADEL ADVISORS LLC']
BEAZER HOMES USA INC,"<a href=""http://www.google.com/search?q=stock price BEAZER HOMES USA INC"" 
        target=""_blank"">BEAZER HOMES USA INC</a>",07556Q881,4105485,"['CITADEL ADVISORS LLC', 'D. E. Shaw & Co., Inc']"
WARRIOR MET COAL INC,"<a href=""http://www.google.com/search?q=stock price WARRIOR MET COAL INC"" 
        target=""_blank"">WARRIOR MET COAL INC</a>",93627C101,4103281,['CITADEL ADVISORS LLC']
