nameOfIssuer,titleOfClass,cusip,value,shrsOrPrnAmt,investmentDiscretion,votingAuthority,sshPrnamt,sshPrnamtType,cik,filingDate,reportDate,fund_name,figi,putCall,otherManager
COINBASE GLOBAL INC,COM CL A,19260Q107,17551215,"{'sshPrnamt': '245300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '245300', 'None': '0'}",245300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COLGATE PALMOLIVE CO,COM,194162103,1687176,"{'sshPrnamt': '21900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '21900', 'None': '0'}",21900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COLGATE PALMOLIVE CO,COM,194162103,4915152,"{'sshPrnamt': '63800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '63800', 'None': '0'}",63800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COMCAST CORP NEW,CL A,20030N101,9726855,"{'sshPrnamt': '234100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '234100', 'None': '0'}",234100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COMCAST CORP NEW,CL A,20030N101,7898655,"{'sshPrnamt': '190100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '190100', 'None': '0'}",190100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COMERICA INC,COM,200340107,3672612,"{'sshPrnamt': '86700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '86700', 'None': '0'}",86700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COMERICA INC,COM,200340107,7675632,"{'sshPrnamt': '181200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '181200', 'None': '0'}",181200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COMMERCIAL METALS CO,COM,201723103,1058466,"{'sshPrnamt': '20100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '20100', 'None': '0'}",20100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COMMERCIAL METALS CO,COM,201723103,700378,"{'sshPrnamt': '13300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '13300', 'None': '0'}",13300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COMSTOCK RES INC,COM,205768302,2800240,"{'sshPrnamt': '241400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '241400', 'None': '0'}",241400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COMSTOCK RES INC,COM,205768302,2270120,"{'sshPrnamt': '195700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '195700', 'None': '0'}",195700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CONAGRA BRANDS INC,COM,205887102,502428,"{'sshPrnamt': '14900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '14900', 'None': '0'}",14900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CONAGRA BRANDS INC,COM,205887102,684516,"{'sshPrnamt': '20300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '20300', 'None': '0'}",20300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CONCENTRIX CORP,COM,20602D101,1429275,"{'sshPrnamt': '17700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '17700', 'None': '0'}",17700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CONCENTRIX CORP,COM,20602D101,1485800,"{'sshPrnamt': '18400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '18400', 'None': '0'}",18400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CONOCOPHILLIPS,COM,20825C104,2465918,"{'sshPrnamt': '23800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '23800', 'None': '0'}",23800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CONOCOPHILLIPS,COM,20825C104,8040136,"{'sshPrnamt': '77600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '77600', 'None': '0'}",77600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CONSOL ENERGY INC NEW,COM,20854L108,1634221,"{'sshPrnamt': '24100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '24100', 'None': '0'}",24100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CONSOLIDATED EDISON INC,COM,209115104,7051200,"{'sshPrnamt': '78000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '78000', 'None': '0'}",78000,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CONSOLIDATED EDISON INC,COM,209115104,5532480,"{'sshPrnamt': '61200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '61200', 'None': '0'}",61200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COSTCO WHSL CORP NEW,COM,22160K105,23850234,"{'sshPrnamt': '44300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '44300', 'None': '0'}",44300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COSTCO WHSL CORP NEW,COM,22160K105,9852354,"{'sshPrnamt': '18300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '18300', 'None': '0'}",18300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COSTAR GROUP INC,COM,22160N109,3506600,"{'sshPrnamt': '39400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '39400', 'None': '0'}",39400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COSTAR GROUP INC,COM,22160N109,4218600,"{'sshPrnamt': '47400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '47400', 'None': '0'}",47400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
COTY INC,COM CL A,222070203,1735348,"{'sshPrnamt': '141200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '141200', 'None': '0'}",141200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
COTY INC,COM CL A,222070203,1649318,"{'sshPrnamt': '134200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '134200', 'None': '0'}",134200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CRACKER BARREL OLD CTRY STOR,COM,22410J106,950436,"{'sshPrnamt': '10200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '10200', 'None': '0'}",10200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CRACKER BARREL OLD CTRY STOR,COM,22410J106,1313838,"{'sshPrnamt': '14100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '14100', 'None': '0'}",14100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CROCS INC,COM,227046109,27311676,"{'sshPrnamt': '242900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '242900', 'None': '0'}",242900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CROCS INC,COM,227046109,17473176,"{'sshPrnamt': '155400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '155400', 'None': '0'}",155400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CROWDSTRIKE HLDGS INC,CL A,22788C105,15656342,"{'sshPrnamt': '106600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '106600', 'None': '0'}",106600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CROWDSTRIKE HLDGS INC,CL A,22788C105,35909715,"{'sshPrnamt': '244500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '244500', 'None': '0'}",244500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CROWN CASTLE INC,COM,22822V101,34683336,"{'sshPrnamt': '304400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '304400', 'None': '0'}",304400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CROWN CASTLE INC,COM,22822V101,13684194,"{'sshPrnamt': '120100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '120100', 'None': '0'}",120100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
CUMMINS INC,COM,231021106,7158672,"{'sshPrnamt': '29200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '29200', 'None': '0'}",29200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
CUMMINS INC,COM,231021106,3971592,"{'sshPrnamt': '16200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '16200', 'None': '0'}",16200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
D R HORTON INC,COM,23331A109,30592866,"{'sshPrnamt': '251400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '251400', 'None': '0'}",251400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
D R HORTON INC,COM,23331A109,37663055,"{'sshPrnamt': '309500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '309500', 'None': '0'}",309500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DANAHER CORPORATION,COM,235851102,6096000,"{'sshPrnamt': '25400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '25400', 'None': '0'}",25400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DANAHER CORPORATION,COM,235851102,5688000,"{'sshPrnamt': '23700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '23700', 'None': '0'}",23700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DAQO NEW ENERGY CORP,SPNSRD ADS NEW,23703Q203,1639610,"{'sshPrnamt': '41300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '41300', 'None': '0'}",41300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DAQO NEW ENERGY CORP,SPNSRD ADS NEW,23703Q203,647110,"{'sshPrnamt': '16300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '16300', 'None': '0'}",16300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DARDEN RESTAURANTS INC,COM,237194105,5513640,"{'sshPrnamt': '33000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '33000', 'None': '0'}",33000,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DARLING INGREDIENTS INC,COM,237266101,918576,"{'sshPrnamt': '14400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '14400', 'None': '0'}",14400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DARLING INGREDIENTS INC,COM,237266101,2500568,"{'sshPrnamt': '39200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '39200', 'None': '0'}",39200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DATADOG INC,CL A COM,23804L103,7339148,"{'sshPrnamt': '74600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '74600', 'None': '0'}",74600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DATADOG INC,CL A COM,23804L103,8273758,"{'sshPrnamt': '84100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '84100', 'None': '0'}",84100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DAVE & BUSTERS ENTMT INC,COM,238337109,882288,"{'sshPrnamt': '19800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '19800', 'None': '0'}",19800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DAVE & BUSTERS ENTMT INC,COM,238337109,895656,"{'sshPrnamt': '20100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '20100', 'None': '0'}",20100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DEERE & CO,COM,244199105,11426358,"{'sshPrnamt': '28200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '28200', 'None': '0'}",28200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DEERE & CO,COM,244199105,15923967,"{'sshPrnamt': '39300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '39300', 'None': '0'}",39300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DELEK US HLDGS INC NEW,COM,24665A103,2878790,"{'sshPrnamt': '120200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '120200', 'None': '0'}",120200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DELEK US HLDGS INC NEW,COM,24665A103,495765,"{'sshPrnamt': '20700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '20700', 'None': '0'}",20700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DELL TECHNOLOGIES INC,CL C,24703L202,4734625,"{'sshPrnamt': '87500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '87500', 'None': '0'}",87500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DELL TECHNOLOGIES INC,CL C,24703L202,1120077,"{'sshPrnamt': '20700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '20700', 'None': '0'}",20700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DELTA AIR LINES INC DEL,COM NEW,247361702,8899488,"{'sshPrnamt': '187200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '187200', 'None': '0'}",187200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DELTA AIR LINES INC DEL,COM NEW,247361702,5666768,"{'sshPrnamt': '119200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '119200', 'None': '0'}",119200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DEVON ENERGY CORP NEW,COM,25179M103,34935318,"{'sshPrnamt': '722700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '722700', 'None': '0'}",722700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DEVON ENERGY CORP NEW,COM,25179M103,45342920,"{'sshPrnamt': '938000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '938000', 'None': '0'}",938000,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DEXCOM INC,COM,252131107,31960437,"{'sshPrnamt': '248700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '248700', 'None': '0'}",248700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DEXCOM INC,COM,252131107,15639667,"{'sshPrnamt': '121700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '121700', 'None': '0'}",121700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DIGITAL RLTY TR INC,COM,253868103,14518425,"{'sshPrnamt': '127500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '127500', 'None': '0'}",127500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DIGITAL RLTY TR INC,COM,253868103,25131109,"{'sshPrnamt': '220700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '220700', 'None': '0'}",220700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DIGITAL TURBINE INC,COM NEW,25400W102,863968,"{'sshPrnamt': '93100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '93100', 'None': '0'}",93100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DIGITAL TURBINE INC,COM NEW,25400W102,786944,"{'sshPrnamt': '84800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '84800', 'None': '0'}",84800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DIGITALBRIDGE GROUP INC,CL A NEW,25401T603,378047,"{'sshPrnamt': '25700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '25700', 'None': '0'}",25700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DIGITALOCEAN HLDGS INC,COM,25402D102,449568,"{'sshPrnamt': '11200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '11200', 'None': '0'}",11200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DISNEY WALT CO,COM,254687106,35149536,"{'sshPrnamt': '393700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '393700', 'None': '0'}",393700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DISNEY WALT CO,COM,254687106,45729216,"{'sshPrnamt': '512200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '512200', 'None': '0'}",512200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DISCOVER FINL SVCS,COM,254709108,1589160,"{'sshPrnamt': '13600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '13600', 'None': '0'}",13600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOCUSIGN INC,COM,256163106,7029984,"{'sshPrnamt': '137600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '137600', 'None': '0'}",137600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DOCUSIGN INC,COM,256163106,8072220,"{'sshPrnamt': '158000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '158000', 'None': '0'}",158000,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOLLAR GEN CORP NEW,COM,256677105,24618100,"{'sshPrnamt': '145000', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '145000', 'None': '0'}",145000,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DOLLAR GEN CORP NEW,COM,256677105,13938938,"{'sshPrnamt': '82100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '82100', 'None': '0'}",82100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOLLAR TREE INC,COM,256746108,1793750,"{'sshPrnamt': '12500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '12500', 'None': '0'}",12500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOMINION ENERGY INC,COM,25746U109,53763199,"{'sshPrnamt': '1038100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '1038100', 'None': '0'}",1038100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DOMINION ENERGY INC,COM,25746U109,27029201,"{'sshPrnamt': '521900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '521900', 'None': '0'}",521900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOMINOS PIZZA INC,COM,25754A201,10244496,"{'sshPrnamt': '30400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '30400', 'None': '0'}",30400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DOMINOS PIZZA INC,COM,25754A201,9840108,"{'sshPrnamt': '29200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '29200', 'None': '0'}",29200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOORDASH INC,CL A,25809K105,3179072,"{'sshPrnamt': '41600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '41600', 'None': '0'}",41600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DOW INC,COM,260557103,25575452,"{'sshPrnamt': '480200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '480200', 'None': '0'}",480200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DOW INC,COM,260557103,18443938,"{'sshPrnamt': '346300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '346300', 'None': '0'}",346300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
DUKE ENERGY CORP NEW,COM NEW,26441C204,38327954,"{'sshPrnamt': '427100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '427100', 'None': '0'}",427100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
DUKE ENERGY CORP NEW,COM NEW,26441C204,15551942,"{'sshPrnamt': '173300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '173300', 'None': '0'}",173300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EOG RES INC,COM,26875P101,4749260,"{'sshPrnamt': '41500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '41500', 'None': '0'}",41500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
EOG RES INC,COM,26875P101,6797736,"{'sshPrnamt': '59400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '59400', 'None': '0'}",59400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EQT CORP,COM,26884L109,12343113,"{'sshPrnamt': '300100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '300100', 'None': '0'}",300100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
EQT CORP,COM,26884L109,10233144,"{'sshPrnamt': '248800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '248800', 'None': '0'}",248800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
ETF SER SOLUTIONS,US GLB JETS,26922A842,2371194,"{'sshPrnamt': '110700', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '110700', 'None': '0'}",110700,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
ETF SER SOLUTIONS,US GLB JETS,26922A842,1047438,"{'sshPrnamt': '48900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '48900', 'None': '0'}",48900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EAST WEST BANCORP INC,COM,27579R104,765455,"{'sshPrnamt': '14500', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '14500', 'None': '0'}",14500,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EBAY INC.,COM,278642103,11065244,"{'sshPrnamt': '247600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '247600', 'None': '0'}",247600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
EBAY INC.,COM,278642103,10828387,"{'sshPrnamt': '242300', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '242300', 'None': '0'}",242300,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EDISON INTL,COM,281020107,708390,"{'sshPrnamt': '10200', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '10200', 'None': '0'}",10200,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
EDISON INTL,COM,281020107,1382055,"{'sshPrnamt': '19900', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '19900', 'None': '0'}",19900,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
EDWARDS LIFESCIENCES CORP,COM,28176E108,2792168,"{'sshPrnamt': '29600', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '29600', 'None': '0'}",29600,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
EDWARDS LIFESCIENCES CORP,COM,28176E108,2339384,"{'sshPrnamt': '24800', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '24800', 'None': '0'}",24800,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
ELANCO ANIMAL HEALTH INC,COM,28414H103,5396184,"{'sshPrnamt': '536400', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '536400', 'None': '0'}",536400,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Call,0
ELANCO ANIMAL HEALTH INC,COM,28414H103,2938526,"{'sshPrnamt': '292100', 'sshPrnamtType': 'SH'}",SOLE,"{'Sole': '0', 'Shared': '292100', 'None': '0'}",292100,SH,1323645,2023-08-14,2023-06-30,CAPITAL FUND MANAGEMENT,,Put,0
